cluster_size,cluster_count,cum_clusters,cum_entities,cum_clusters_pct,cum_entities_pct
2,10,10,20,22.22222222222222,3.3333333333333335
3,2,12,26,26.666666666666668,4.333333333333333
4,5,17,46,37.77777777777778,7.666666666666667
5,1,18,51,40.0,8.5
6,1,19,57,42.22222222222222,9.5
7,1,20,64,44.44444444444444,10.666666666666666
8,1,21,72,46.666666666666664,12.0
9,1,22,81,48.888888888888886,13.5
10,4,26,121,57.77777777777778,20.166666666666668
13,1,27,134,60.0,22.333333333333332
14,2,29,162,64.44444444444444,27.0
16,1,30,178,66.66666666666667,29.666666666666668
17,1,31,195,68.88888888888889,32.5
18,1,32,213,71.11111111111111,35.5
20,1,33,233,73.33333333333333,38.833333333333336
24,2,35,281,77.77777777777777,46.833333333333336
25,2,37,331,82.22222222222223,55.166666666666664
26,1,38,357,84.44444444444444,59.5
28,1,39,385,86.66666666666667,64.16666666666667
31,2,41,447,91.11111111111111,74.5
33,1,42,480,93.33333333333333,80.0
35,1,43,515,95.55555555555556,85.83333333333333
36,1,44,551,97.77777777777777,91.83333333333333
49,1,45,600,100.0,100.0
