feature,weight,abs_weight
person_cosine,0.6100086739673565,0.6100086739673565
person_levenshtein,0.4928317100978894,0.4928317100978894
person_subjects_product,0.39459327207464673,0.39459327207464673
person_subjects_harmonic,0.27574385618078473,0.27574385618078473
person_provision_harmonic,0.24140908356501148,0.24140908356501148
composite_cosine,0.20288099328543954,0.20288099328543954
person_title_harmonic,0.19652928908904116,0.19652928908904116
subjects_cosine,0.1519413216913845,0.1519413216913845
title_subjects_harmonic,0.12387059427881868,0.12387059427881868
provision_subjects_harmonic,0.10596624810758645,0.10596624810758645
title_provision_harmonic,0.05479368156514985,0.05479368156514985
title_cosine,0.029226683922015155,0.029226683922015155
composite_subjects_ratio,-0.008143578664694853,0.008143578664694853
provision_cosine,0.0007583579956876954,0.0007583579956876954
