feature,positive_mean,negative_mean,positive_std,negative_std,separation,importance
person_cosine,0.9824810050404861,0.2132327928996656,0.041311471552767084,0.09598620905501092,5.602776454311364,0.2111708501175648
person_levenshtein,0.933861733904469,0.2475038113770935,0.1504307777629135,0.10525895721238744,2.6843389805761113,0.17060690384844227
composite_cosine,0.6391338456585607,0.2387501170715732,0.11315531295168436,0.08763077261013826,1.9940810513172147,0.07023269283392988
person_provision_harmonic,0.6566584629639565,0.22753120396158666,0.18619131713500006,0.07265861834496665,1.6578225457413005,0.0835702237985779
person_subjects_product,0.4937270514052507,0.05126264220851812,0.23516774256774206,0.040775082530185414,1.603464083690922,0.13659903583458516
person_subjects_harmonic,0.6301601034727025,0.19272998704054653,0.2021784525306282,0.07583034714355262,1.5734398225696913,0.09545612547717292
person_title_harmonic,0.52279845186375,0.1807975622393564,0.1939365129299787,0.07399452263907234,1.2764511916211112,0.06803388020701218
provision_subjects_harmonic,0.4831618077747181,0.20930788864595942,0.18413408467851244,0.07902110473781734,1.0406555908555646,0.036683056572151776
subjects_cosine,0.509085724270831,0.1931468284343745,0.23143260324482579,0.09443724262956427,0.9695247959770984,0.05259856037927923
title_subjects_harmonic,0.40336836331801995,0.1542420800918769,0.19019679018158078,0.07768284317678145,0.9299933709139752,0.04288112581793532
title_provision_harmonic,0.42184004468056496,0.1956136042699733,0.18580440241360288,0.07605429356905256,0.8639256357771524,0.01896830128976662
title_cosine,0.4281892785237107,0.21949174837007648,0.18852597466084467,0.07599633617276624,0.7889600294808726,0.010117599885570771
provision_cosine,0.5259294986853026,0.28623387498309105,0.2211068667194713,0.09057800120287318,0.7690319562190971,0.00026252594344485165
composite_subjects_ratio,0.005291482108103492,0.006211576910196626,0.00296023670777717,0.009023756787740143,0.07677697776098602,0.0028191179945662565
