feature,min,max,mean,median,std,positive_mean,negative_mean,positive_std,negative_std,separation
person_cosine,0.0,1.0,0.5951058663150198,0.46782101992103103,0.3916822382603107,0.9824810050404861,0.2132327928996656,0.041311471552767084,0.09598620905501092,5.602776454311364
person_levenshtein,0.0,1.0,0.588228177325344,0.5,0.36684997231487165,0.933861733904469,0.2475038113770935,0.1504307777629135,0.10525895721238744,2.6843389805761113
composite_cosine,0.017971646819460372,1.0,0.43751010450853123,0.451138595024252,0.2242722510598222,0.6391338456585607,0.2387501170715732,0.11315531295168436,0.08763077261013826,1.9940810513172147
person_provision_harmonic,0.027804142699847673,1.0,0.44056016222914623,0.35002863807158363,0.25671645382085345,0.6566584629639565,0.22753120396158666,0.18619131713500006,0.07265861834496665,1.6578225457413005
person_subjects_product,0.0038984428895021987,1.0,0.2709124784384058,0.15365725507857342,0.27790751437690303,0.4937270514052507,0.05126264220851812,0.23516774256774206,0.040775082530185414,1.603464083690922
person_subjects_harmonic,0.0,1.0,0.40988068083481993,0.3111884351827639,0.26649839439784223,0.6301601034727025,0.19272998704054653,0.2021784525306282,0.07583034714355262,1.5734398225696913
person_title_harmonic,0.0,1.0,0.350574922485914,0.2693730678850272,0.2250955553081141,0.52279845186375,0.1807975622393564,0.1939365129299787,0.07399452263907234,1.2764511916211112
provision_subjects_harmonic,0.0,1.0,0.3452554750218829,0.28764138004894824,0.19678403922063553,0.4831618077747181,0.20930788864595942,0.18413408467851244,0.07902110473781734,1.0406555908555646
subjects_cosine,0.011527594579145997,1.0,0.34998639628823497,0.26580997121307864,0.2367131964158845,0.509085724270831,0.1931468284343745,0.23143260324482579,0.09443724262956427,0.9695247959770984
title_subjects_harmonic,0.0,1.0,0.2779142810052222,0.21813173979775646,0.1910814350445322,0.40336836331801995,0.1542420800918769,0.19019679018158078,0.07768284317678145,0.9299933709139752
title_provision_harmonic,0.0,1.0,0.3079177795984866,0.25882899047766245,0.18123171231005675,0.42184004468056496,0.1956136042699733,0.18580440241360288,0.07605429356905256,0.8639256357771524
title_cosine,0.023591714561745743,1.0,0.32309415653449414,0.27153549864374876,0.17731440353175473,0.4281892785237107,0.21949174837007648,0.18852597466084467,0.07599633617276624,0.7889600294808726
provision_cosine,0.032438382359531046,1.0,0.4052244726376975,0.34642049409213715,0.20679356236471588,0.5259294986853026,0.28623387498309105,0.2211068667194713,0.09057800120287318,0.7690319562190971
composite_subjects_ratio,0.0,0.4879434680673065,0.005754820008635605,0.004893653344439521,0.006750340468659983,0.005291482108103492,0.006211576910196626,0.00296023670777717,0.009023756787740143,0.07677697776098602
